Algoritm,Iterationer,X^2,PVärde,Gräns värde,Signifikant,Kort0_Std,Kort1_Std,Kort2_Std,Kort3_Std,Kort4_Std,Kort5_Std,Kort6_Std,Kort7_Std,Kort8_Std,Kort9_Std,Kort10_Std,Kort11_Std,Kort12_Std,Kort13_Std,Kort14_Std,Kort15_Std,Kort16_Std,Kort17_Std,Kort18_Std,Kort19_Std,Kort20_Std,Kort21_Std,Kort22_Std,Kort23_Std,Kort24_Std,Kort25_Std,Kort26_Std,Kort27_Std,Kort28_Std,Kort29_Std,Kort30_Std,Kort31_Std,Kort32_Std,Kort33_Std,Kort34_Std,Kort35_Std,Kort36_Std,Kort37_Std,Kort38_Std,Kort39_Std,Kort40_Std,Kort41_Std,Kort42_Std,Kort43_Std,Kort44_Std,Kort45_Std,Kort46_Std,Kort47_Std,Kort48_Std,Kort49_Std,Kort50_Std,Kort51_Std,Kort0_Medelvärde,Kort1_Medelvärde,Kort2_Medelvärde,Kort3_Medelvärde,Kort4_Medelvärde,Kort5_Medelvärde,Kort6_Medelvärde,Kort7_Medelvärde,Kort8_Medelvärde,Kort9_Medelvärde,Kort10_Medelvärde,Kort11_Medelvärde,Kort12_Medelvärde,Kort13_Medelvärde,Kort14_Medelvärde,Kort15_Medelvärde,Kort16_Medelvärde,Kort17_Medelvärde,Kort18_Medelvärde,Kort19_Medelvärde,Kort20_Medelvärde,Kort21_Medelvärde,Kort22_Medelvärde,Kort23_Medelvärde,Kort24_Medelvärde,Kort25_Medelvärde,Kort26_Medelvärde,Kort27_Medelvärde,Kort28_Medelvärde,Kort29_Medelvärde,Kort30_Medelvärde,Kort31_Medelvärde,Kort32_Medelvärde,Kort33_Medelvärde,Kort34_Medelvärde,Kort35_Medelvärde,Kort36_Medelvärde,Kort37_Medelvärde,Kort38_Medelvärde,Kort39_Medelvärde,Kort40_Medelvärde,Kort41_Medelvärde,Kort42_Medelvärde,Kort43_Medelvärde,Kort44_Medelvärde,Kort45_Medelvärde,Kort46_Medelvärde,Kort47_Medelvärde,Kort48_Medelvärde,Kort49_Medelvärde,Kort50_Medelvärde,Kort51_Medelvärde
Fixed riffle shuffle,1,4439274.715909091,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,27.0,1.0,28.0,2.0,29.0,3.0,30.0,4.0,31.0,5.0,32.0,6.0,33.0,7.0,34.0,8.0,35.0,9.0,36.0,10.0,37.0,11.0,38.0,12.0,39.0,13.0,40.0,14.0,41.0,15.0,42.0,16.0,43.0,17.0,44.0,18.0,45.0,19.0,46.0,20.0,47.0,21.0,48.0,22.0,49.0,23.0,50.0,24.0,51.0,25.0
Fixed riffle shuffle,10,3233435.9436178543,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,49.0,21.0,46.0,18.0,43.0,15.0,40.0,12.0,37.0,9.0,34.0,6.0,31.0,3.0,28.0,0.0,25.0,50.0,22.0,47.0,19.0,44.0,16.0,41.0,13.0,38.0,10.0,35.0,7.0,32.0,4.0,29.0,1.0,26.0,51.0,23.0,48.0,20.0,45.0,17.0,42.0,14.0,39.0,11.0,36.0,8.0,33.0,5.0,30.0,2.0,27.0
Fixed riffle shuffle,2,2251890550.0,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,26.0,13.0,0.0,40.0,27.0,14.0,1.0,41.0,28.0,15.0,2.0,42.0,29.0,16.0,3.0,43.0,30.0,17.0,4.0,44.0,31.0,18.0,5.0,45.0,32.0,19.0,6.0,46.0,33.0,20.0,7.0,47.0,34.0,21.0,8.0,48.0,35.0,22.0,9.0,49.0,36.0,23.0,10.0,50.0,37.0,24.0,11.0,51.0,38.0,25.0,12.0
Fixed riffle shuffle,3,65088853.03030303,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,39.0,6.0,26.0,46.0,13.0,33.0,0.0,20.0,40.0,7.0,27.0,47.0,14.0,34.0,1.0,21.0,41.0,8.0,28.0,48.0,15.0,35.0,2.0,22.0,42.0,9.0,29.0,49.0,16.0,36.0,3.0,23.0,43.0,10.0,30.0,50.0,17.0,37.0,4.0,24.0,44.0,11.0,31.0,51.0,18.0,38.0,5.0,25.0,45.0,12.0,32.0
Fixed riffle shuffle,4,4439274.715909091,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,29.0,39.0,49.0,6.0,16.0,26.0,36.0,46.0,3.0,13.0,23.0,33.0,43.0,0.0,10.0,20.0,30.0,40.0,50.0,7.0,17.0,27.0,37.0,47.0,4.0,14.0,24.0,34.0,44.0,1.0,11.0,21.0,31.0,41.0,51.0,8.0,18.0,28.0,38.0,48.0,5.0,15.0,25.0,35.0,45.0,2.0,12.0,22.0,32.0,42.0
Fixed riffle shuffle,5,3233435.9436178543,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,14.0,19.0,24.0,29.0,34.0,39.0,44.0,49.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,3.0,8.0,13.0,18.0,23.0,28.0,33.0,38.0,43.0,48.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,2.0,7.0,12.0,17.0,22.0,27.0,32.0,37.0,42.0,47.0
Fixed riffle shuffle,6,3233435.9436178543,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,33.0,9.0,38.0,14.0,43.0,19.0,48.0,24.0,0.0,29.0,5.0,34.0,10.0,39.0,15.0,44.0,20.0,49.0,25.0,1.0,30.0,6.0,35.0,11.0,40.0,16.0,45.0,21.0,50.0,26.0,2.0,31.0,7.0,36.0,12.0,41.0,17.0,46.0,22.0,51.0,27.0,3.0,32.0,8.0,37.0,13.0,42.0,18.0,47.0,23.0
Fixed riffle shuffle,7,3233435.9436178543,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,28.0,16.0,4.0,45.0,33.0,21.0,9.0,50.0,38.0,26.0,14.0,2.0,43.0,31.0,19.0,7.0,48.0,36.0,24.0,12.0,0.0,41.0,29.0,17.0,5.0,46.0,34.0,22.0,10.0,51.0,39.0,27.0,15.0,3.0,44.0,32.0,20.0,8.0,49.0,37.0,25.0,13.0,1.0,42.0,30.0,18.0,6.0,47.0,35.0,23.0,11.0
Fixed riffle shuffle,8,3233435.9436178543,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,40.0,34.0,28.0,22.0,16.0,10.0,4.0,51.0,45.0,39.0,33.0,27.0,21.0,15.0,9.0,3.0,50.0,44.0,38.0,32.0,26.0,20.0,14.0,8.0,2.0,49.0,43.0,37.0,31.0,25.0,19.0,13.0,7.0,1.0,48.0,42.0,36.0,30.0,24.0,18.0,12.0,6.0,0.0,47.0,41.0,35.0,29.0,23.0,17.0,11.0,5.0
Fixed riffle shuffle,9,3233435.9436178543,0.0,16.918977604620448,Ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,46.0,43.0,40.0,37.0,34.0,31.0,28.0,25.0,22.0,19.0,16.0,13.0,10.0,7.0,4.0,1.0,51.0,48.0,45.0,42.0,39.0,36.0,33.0,30.0,27.0,24.0,21.0,18.0,15.0,12.0,9.0,6.0,3.0,0.0,50.0,47.0,44.0,41.0,38.0,35.0,32.0,29.0,26.0,23.0,20.0,17.0,14.0,11.0,8.0,5.0,2.0
