Card 1,Card 2,Card 3,Card 4,Card 5,Hand Type
Ks,5s,7c,5c,Jd,1
8d,Qc,Kh,Qh,Kd,2
5s,Kd,9s,4d,9c,1
Qh,5c,Kh,Kc,4s,1
4h,5h,9d,Jd,8d,4
4h,7c,Jd,Ah,Ac,1
Ah,6s,5s,7c,Tc,0
Js,Kc,Ah,Jh,3h,1
4c,Qh,Jh,Js,3c,1
Ks,Jd,3c,8c,6d,0
7s,2s,Tc,7d,Jd,1
2c,Qd,Ah,4c,Qh,1
8h,4h,9s,Qs,9h,1
Kd,8s,2c,Kh,6s,1
6d,Ah,2s,9s,7c,0
Tc,Kc,7h,2s,3h,0
2s,9h,Qc,9s,6s,1
Kd,5s,As,9s,2s,0
Qd,2h,6s,3d,7h,0
8s,Td,Jh,3s,Kh,0
7s,Jh,8d,Qd,8c,1
Qc,8c,7h,Js,Ah,0
Ah,Qs,Th,7c,9d,0
7h,3c,6c,3s,9s,1
Th,Ac,3s,Js,Qc,0
Ac,Kc,Tc,Qc,6d,0
Ad,Kd,Qs,5c,2d,0
Jh,9c,7c,Kh,Kc,1
6c,6d,Kd,3d,Qc,1
2d,Th,6h,8c,8d,1
Kd,8h,7d,3s,Kh,1
4d,7d,5h,4c,4s,3
7d,9h,Qc,Js,7h,1
Ac,5d,Ts,6c,Ah,1
3d,Jd,7c,Ac,7h,1
6s,6d,Tc,Qh,2d,1
8d,Qs,6c,Qc,4c,1
Qd,8h,2c,2h,3s,1
2d,7c,Qd,7h,As,1
Jh,Qd,8d,Jc,Qc,2
3d,8h,Kc,6d,9h,0
As,Jh,2s,Ad,5s,1
6d,3h,7d,Qc,Th,4
7c,3c,5h,2s,Jh,4
Tc,3d,Ks,6s,Ah,4
Qc,6h,Ad,Kd,4d,0
8h,8d,6c,6d,4d,2
7c,5s,4s,3s,6c,0
Th,4s,7h,Qc,Ac,4
6s,2d,Ks,9s,2h,1
4d,5c,Jh,Ks,3s,0
7h,6d,Js,4d,Jh,1
Ac,3s,2s,2d,6s,1
7c,8d,9h,5d,Qc,0
7c,4d,Kd,5h,Tc,0
3s,Ks,9d,Jc,8d,0
7h,7s,3c,4d,3d,2
2d,Kh,5c,4h,Qs,0
8c,Qc,5s,9d,Qh,1
4c,7c,9c,Qh,3d,0
9s,Qd,Ah,8s,6s,0
2h,8c,Jd,Ah,2c,1
9d,9s,5s,2s,As,1
2s,4c,4h,As,4d,3
3h,2h,8s,Qs,4d,0
2c,Ah,2h,Ac,Qc,2
Kd,5c,8s,9s,5h,1
5d,7s,8s,Kc,3s,0
5h,9c,8d,9h,2h,1
As,4h,2s,Qs,Kh,0
As,Js,8c,7h,Qc,0
7d,5s,Kc,9d,Ac,0
2s,4c,As,3c,Jd,0
6s,Ad,6c,6d,7h,3
6h,Kd,7d,5c,Td,4
Ah,6s,Ts,Kd,4d,0
3h,As,Th,4s,8h,0
Kd,9h,5d,6s,6h,1
5d,Qh,6s,Tc,2s,0
Th,5d,6s,Qc,7c,0
8h,Qs,9s,9d,4s,1
9s,Js,5s,Kd,5h,1
Tc,9c,Th,2s,7h,1
4d,Qh,6h,9h,Th,0
6c,4h,7c,7h,7d,3
5s,4s,5c,8c,8s,2
4s,5s,6d,2d,Th,0
Js,Kc,2d,2c,3s,1
Ks,9s,9h,Tc,Jc,1
Ac,Ts,7d,Th,2c,1
